rank,product_id,group,title,sold,price,active,rating
1,913146,Пазлы,"Пазлы детские в рамке Герои Дисней: Король лев, Рапунцель, Холодное сердце, Моана, Виннипух",1599,99.0,161,4.9
2,956409,"Кубики, мозаика и пирамидки","Кубики детские ""Собери картинку"", 4 кубика. Дикие и Домашние животные, Транспорт",880,199.0,21,4.9
3,1997433,Настольные и карточные игры,"Настольная игра ""Викторина. Школа дошколят""",872,359.0,5,5.0
4,895377,Магнитные игры и одевашки,Кукла магнитная с одеждой. Игра магнитная Одевашки. Ксюша,845,349.0,31,4.9
5,2409774,Опыты и наука,"Химические опыты. Эксперименты. Неньютоновская жидкость, Фараоновая змея. Фиксики",753,319.0,51,4.9
6,534876,Творчество и рукоделие,"Раскраски-антистресс Bondibon, в наборе, 21 х 30 см, А4",697,199.0,162,4.9
7,1832651,"Кубики, мозаика и пирамидки","Детская пластмассовая Мозаика, 100, 120, 150, 225 элементов",638,349.0,35,5.0
8,2213304,Творчество и рукоделие,"Детский набор для вышивки крестиком Единорог, Корги, Лиса, Коала",574,249.0,15,4.7
9,897665,Магнитные игры и одевашки,"Игра магнитная ""Одевашки. Модная девчонка. Кукла Анюта с одеждой""",557,399.0,31,5.0
10,931017,Пазлы,Пазлы мягкие для детей Герои мультфильма Дисней,477,145.0,65,4.9
11,1058969,Творчество и рукоделие,Набор для творчества Мыло своими руками,466,315.0,23,5.0
12,923159,Пазлы,"Пазлы детские в рамке Холодное Сердце Эльза и Анна, в рамке",438,139.0,72,4.9
13,2379766,Настольные и карточные игры,Веселая настольная игра Объяснялка Объясни жестами,400,269.0,0,5.0
14,2455331,Прочее,Защитный чехол на сиденье автомобиля / Защитная накидка на спинку сиденья / Незапинайка,384,349.0,82,4.8
15,1832852,Настольные и карточные игры,"Настольная игра Фанты, Объясни, покажи, нарисуй",366,249.0,0,4.5
16,1248402,Настольные и карточные игры,Настольная игра лото для детей. Развивающая игра,363,219.0,19,5.0
17,309220,Деревянные игрушки и шнуровки,"Развивающая деревянная игрушка Шнуровка ""Три кота"" Карамелька",322,175.0,0,4.8
18,1280742,Книги и обучающие материалы,"Развивающая игра на липучках изучаем цвета, Мой дом, Овощи и фрукты, Формы, Времена года",318,699.0,17,4.9
19,900284,Пазлы,"Пазлы детские контурные для малышей Дикие, Домашние животные, Транспорт. Половинки",289,355.0,0,5.0
20,956258,Пазлы,Пазлы детские мягкие для мальчиков и девочек. Крупные пазлы для малышей. Пазлы для девочек,258,125.0,4,5.0
21,1031160,Магнитные игры и одевашки,"Танграм магнитная игра с заданиями, развивающие игры для детей",253,459.0,0,4.6
22,972945,Настольные и карточные игры,"Карточная настольная игра ""Мафия""",251,255.0,9,5.0
23,39379,Книги и обучающие материалы,"Книга для купания и игр в ванной Bondibon ""Животные""",245,245.0,0,4.5
24,117502,"Животные, фигурки и наборы","Набор животных 12 шт. Bondibon ""Ребятам о зверятах""",243,249.0,0,4.5
25,1033468,Настольные и карточные игры,"Настольная игра для детей Лото ""Животные"", ""Растения"", ""Кто где живет"", ""Собирай-ка""",236,245.0,0,5.0
26,2449171,Творчество и рукоделие,"Картина по номерам детская Холодное сердце, Пони, Котики, Корги, Единорог, Космос",214,395.12,64,5.0
27,2201234,Мячи и активные игры,"Мяч детский, прыгун мягкий, Мячик Смайлик, спорт, в комплекте",210,128.0,72,5.0
28,978916,Магнитные игры и одевашки,"Магниты детские Мои первые магниты, 28 элементов, детские магнитики, Магнитные истории",210,299.0,5,4.8
29,923591,Магнитные игры и одевашки,"Азбука с заданиями, магнитная развивающая игра, русский алфавит",208,499.0,0,4.6
30,969613,Пазлы,"Пазлы детские крупные Maxi ""Игрушки"", ""Фрукты"", ""Ягоды"". Макси пазлы",200,299.0,15,5.0
31,309210,Деревянные игрушки и шнуровки,"Развивающая деревянная игрушка - шнуровка ""Три кота"" Коржик",200,175.0,0,5.0
32,1939359,Творчество и рукоделие,"Набор для вышивания. Вышивание крестиком. Вышивка ""Новогодняя"" Дед мороз, Ёлочка",193,249.0,67,5.0
33,923388,Магнитные игры и одевашки,"Магниты детские Машинки, карта / дорога ""Мы едем, едем"", магнитные машинки, транспорт",192,399.0,0,4.9
34,2687332,Книги и обучающие материалы,"Многоразовая книжка с маркером Пиши-стирай. Животные в Море, Лесные и домашние животные",189,199.0,129,5.0
35,35682,Магнитные игры и одевашки,"Деревянная игрушка магнитная рыбалка "" Поймай червячка "" яблоко , клубничка",181,790.0,0,4.9
36,213986,Настольные и карточные игры,"Зубастый крокодил"" Настольная игра Bondibon безумный",178,499.0,0,4.7
37,939089,Мягкие игрушки и театр,"Кукла-перчатка. Кукольный театр. Лиса, Мышка, Медведь, Кот, Заяц, Лягушка",177,289.0,69,4.8
38,89487,Деревянные игрушки и шнуровки,Деревянный свисток,177,85.0,0,4.8
39,1328379,Творчество и рукоделие,"Набор для шитья мягкая игрушка, из фетра, своими руками",175,375.0,33,5.0
40,1316058,Творчество и рукоделие,"Доски для выжигания по дереву, 2 штуки. Набор досок деревянных",175,199.0,33,5.0
41,2384404,Творчество и рукоделие,"Аппликация наклейками. Книга Рисуй наклейками картина по номерам. Единорог, Динозавр",172,349.0,30,5.0
42,939852,Настольные и карточные игры,"Настольная игра ""Мемо Животные"" для малышей",171,369.0,0,5.0
43,2334872,Настольные и карточные игры,"Настольная игра Дуббль / Дубль Добль для детей. Холодное сердце, Микки Маус, Гравитифолз",169,249.0,42,4.9
44,1280650,Настольные и карточные игры,"Настольная детская игра ""Мемо"", транспорт, животные, флаги",169,199.0,83,5.0
45,2515846,Творчество и рукоделие,"Картина по номерам детская ракраска. Холсте с подрамником, Единорог, Пони, Холодное сердце",156,417.69,105,4.4
46,1832880,Настольные и карточные игры,"Настольная игра ""Чёто-Тама"" или ""Кто я?"" на угадывание слов",154,249.0,0,5.0
47,540339,Пазлы,Детские деревянные пазлы,154,319.0,53,5.0
48,13263,Деревянные игрушки и шнуровки,"Деревянные кубики, 5 цветов",153,210.0,0,5.0
49,932155,Настольные и карточные игры,Мафия Волшебная. Карточная Настольная игра для детей,150,259.0,12,5.0
50,2327391,Конструкторы,"Конструктор новогодний ""Дед мороз"", ""Снеговик"", ""Ёлочка""",143,299.0,109,5.0
51,58600,Книги и обучающие материалы,"Игры и задания на логику, внимательность. Головоломки, Судоку, Логические игры для детей",142,652.5,2,4.9
52,899155,Пазлы,"Пазлы детские контурные Животные. Первые пазлы малыша, Набор из 5 картинок",141,355.0,0,5.0
53,309492,Деревянные игрушки и шнуровки,"Пирамидка Ступеньки 6 деталей, развивающая деревянная игрушка от Алатойс",141,350.0,0,4.9
54,2015342,Опыты и наука,"Набор юного археолога ""Раскопки. Технозавры"": драгоценные камни, воины скелеты",139,408.59,23,5.0
55,13406,Деревянные игрушки и шнуровки,"Деревянные погремушки - маракасы, 19 см",138,170.0,0,5.0
56,2406358,Магнитные игры и одевашки,"Магнитная кукла с нарядами Алиса ""Одевашки""",136,359.0,87,5.0
57,2531464,Опыты и наука,"Набор опытов Увлекательная наука Опыты с Венеры, 6 опытов",133,711.0,31,5.0
58,970356,Пазлы,"Пазлы детские крупные Maxi ""Домашние животные"", ""Дикие животные"" 6 животных. Макси пазлы",133,299.0,23,4.6
59,2279640,Настольные и карточные игры,"Дубль, Дабл, фанты. Настольная игра для детей",132,239.0,9,5.0
60,1280787,Настольные и карточные игры,"Словодел Большой, Компакт. Настольная развивающая игра для детей и взрослых. Собери слово",124,949.0,7,0.0
61,156455,Книги и обучающие материалы,"Книга для купания и игр в ванной ""Транспорт"", Bondibon",122,245.0,0,5.0
62,417046,Прочее,"Прищепки разноцветные ""Семицветик"" 24 шт",120,199.0,0,5.0
63,417036,Прочее,"Счетный материал ""Палочки для счета"", 50 дет",119,235.0,21,4.7
64,45757,"Животные, фигурки и наборы","Набор животных Bondibon ""Ребятам о Зверятах""",118,399.0,29,4.4
65,949901,Книги и обучающие материалы,"Игра развивающая - тренажер ""Часы. Который час. Времена года"" Двусторонние обучающие часы",115,349.0,21,5.0
66,309224,Деревянные игрушки и шнуровки,"Шнуровка ""Компот"" Три кота развивающая деревянная игрушка",114,175.0,0,5.0
67,1500901,Магнитные игры и одевашки,"Магнитная кукла ""Одевашки. Лиза"" Развивающая игра для девочек",113,679.0,8,5.0
68,1500878,Магнитные игры и одевашки,"Кукла Магнитная с нарядами / одеждой ""Одевашки Настя"", развивающая игра для девочек",109,569.0,14,5.0
69,2409130,Мягкие игрушки и театр,"Мягкая игрушка Плюшевый мишка Шарлотта, Фенек Миранда, Зайчик Мякиши",106,680.0,0,4.8
70,950109,Настольные и карточные игры,"Настольная игра МЕМО ""Носочки""",105,369.0,7,4.8
71,131411,Пазлы,"Пазлы ""Животные"" деревянные",105,199.0,10,4.3
72,950401,Книги и обучающие материалы,"Настольная игра Baby Toys ""Азбука для самых маленьких"", русский алфавит",104,400.5,17,5.0
73,30429,Пазлы,"Детское Домино Половинки, ""Животные и игрушки"" 28 плашек",103,801.0,27,4.8
74,213965,Книги и обучающие материалы,"Книга для купания и игр в ванной ""Кто чья мама?"",  Bondibon",102,199.0,0,5.0
75,2692084,Книги и обучающие материалы,"Книжка-шуршалка ""Мои первые слова"", 10х11 см",100,359.0,19,5.0
76,711319,Деревянные игрушки и шнуровки,Деревянная музыкальная игрушка Дудочка,100,199.0,0,5.0
77,711154,Деревянные игрушки и шнуровки,"Деревянная игрушка ""Гусеница""",100,180.0,0,4.8
78,2279644,Настольные и карточные игры,Настольная детская игра ходилка бродилка Зимняя Новогодняя,99,299.0,0,5.0
79,2338726,Настольные и карточные игры,"Новогодняя игра-ходилка ""Зимние приключения с фантами""",96,199.0,12,4.3
80,2223434,Мячи и активные игры,"Мяч детский, прыгун мягкий, мячик-антистресс ""Смайлик - фрукты""",95,145.0,23,5.0
81,711297,Деревянные игрушки и шнуровки,"Деревянная игрушка ""Волчок""",95,120.0,0,5.0
82,309192,Пазлы,"Пазлы детские деревянные Карамелька ""Три кота"" развивающая деревянная игрушка",95,329.0,0,5.0
83,923206,Настольные и карточные игры,"Развивающая настольная игра в слова для детей и взрослых Словодел ""Великан"", 42 х 33 см",94,849.0,0,5.0
84,969659,Магнитные игры и одевашки,"Шахматы, шашки, кто первый, крестики-нолики. Магнитная игра 4 в 1",93,395.0,6,5.0
85,2537919,Книги и обучающие материалы,"Развивающие черно-белые карточки / картинки для новорожденных Животные, Абстракция 0+",92,199.0,10,5.0
86,3064968,Прочее,"Детские накладные ногти Сияй ярче звёзд, 12 шт",91,249.0,99,0.0
87,348,Деревянные игрушки и шнуровки,Деревянный конструктор - сортер Паровозик. Развивающая игрушка,91,1150.0,0,4.8
88,1031582,Прочее,Набор Фотошар. Новогодний шар с фото на ёлку. Ёлочная игрушка,88,480.0,0,5.0
89,537495,Книги и обучающие материалы,"Кубики ""Азбука для самых маленьких"", буквы, русский алфавит, умные кубики для детей",88,299.0,2,4.7
90,1328530,"Кубики, мозаика и пирамидки","Кубики детские с картинками, 4 штуки",87,199.0,2,5.0
91,2743846,Опыты и наука,Набор для опытов. Опыты детские. Большой набор,86,1251.0,18,3.7
92,1091981,Книги и обучающие материалы,Ёлочка новогодняя. Развивающая игра для малыей на липучках,86,349.0,0,5.0
93,955611,Пазлы,"Пазлы детские мягкие Дисней ""Королевские питомцы"", 12 эл. Пазлы для девочек",86,135.0,33,5.0
94,2378213,"Животные, фигурки и наборы","Пазл детский ""Синий трактор"", транспорт, животные, на ферме, 35 элементов",85,159.0,20,5.0
95,937685,Магнитные игры и одевашки,"Магнитная игра ""Азбука с картинками"", 54 элемента. Русский алфавит",85,245.0,14,3.0
96,13316,Деревянные игрушки и шнуровки,Деревянный свисток - человечек,84,60.0,0,3.8
97,2694873,Магнитные игры и одевашки,"Магнитная игра ""Тёмная история""",82,319.0,7,5.0
98,2975468,Прочее,"Оригами для мальчиков, девочек, набор для творчества",80,199.0,51,5.0
99,1313424,Книги и обучающие материалы,"Развивающая игра ""Мама и малыш"", карточки на липучках",80,749.0,0,5.0
100,2973504,Опыты и наука,"Выращивание кристаллов. Химические опыты для детей. Дед Мороз, Снегурочка, Ёлочка",79,219.0,0,5.0
101,1829591,Творчество и рукоделие,Доски для выжигания с рисунком,79,230.0,3,5.0
102,931821,Пазлы,"Пазлы мягкие 24 элемента ""Герои Disney"": Холодное сердце, Моана, Белоснежка и семь гномов""",77,165.0,4,5.0
103,258149,Книги и обучающие материалы,"Книга для купания и игр в ванной ""Дикие животные"" Bondibon, 12х12 см",77,245.0,0,4.9
104,2380711,"Животные, фигурки и наборы","Пазл детский Синий трактор, Транспорт, животные дикие, домашние, на ферме, 24 элемента",76,139.0,64,5.0
105,438367,Деревянные игрушки и шнуровки,"Деревянная игрушка - шнуровка ""Рыбка""",76,155.0,0,5.0
106,899236,Пазлы,Пазлы детские контурные Транспорт / Машинки. Первые пазлы малыша,75,315.0,25,5.0
107,2376205,"Животные, фигурки и наборы",Оригами для самых маленьких Домашние зверята,73,199.0,17,5.0
108,1008660,Настольные и карточные игры,"Настольная игра для детей Мафия детская ""Школа Волшебства""",73,299.0,0,5.0
109,977232,Настольные и карточные игры,"Детская настольная игра ""Тарантинки. Кто я?"" с ободком",73,499.0,0,5.0
110,1031683,Творчество и рукоделие,"Аппликация Новый год. Дед мороз, Снегурочка, Ёлочка, Снеговик",72,299.0,67,5.0
111,58557,Книги и обучающие материалы,"Книга для купания и игр в ванной ""Как называется?"" ( знакомимся с цветами) Bondibon",71,245.0,0,5.0
112,1813755,Магнитные игры и одевашки,Магниты детские Времена года. Развивающая магнитная игра для детей,70,355.0,22,5.0
113,672993,Конструкторы,Конструктор 3D модель для раскрашивания с инерционным механизмом Bondibon,70,199.0,0,1.0
114,417024,Прочее,"Счетный материал ""Радужный счет"" 70 шт",69,245.0,0,4.8
115,1965084,Прочее,"Гравюра цветная,скретч картинки Набор для рисования",68,129.0,130,5.0
116,940002,Настольные и карточные игры,Мемо. Детская настольная игра на развитие памяти,67,319.0,4,5.0
117,416635,Настольные и карточные игры,"Лото ""Азбука-цифры"", ""Алатойс""",67,545.09,12,5.0
118,2487480,Книги и обучающие материалы,Книга-история с наклейками Эльза и Анна. Книжка Холодное сердце. Идеальный летний день,66,219.0,0,5.0
119,156489,Книги и обучающие материалы,"Книга для купания и игр в ванной ""Что любит?"", Bondibon",65,245.0,0,4.9
120,2296836,Настольные и карточные игры,"Набор для рисования на воде ""Эбру"", большой лоток, 8 цветов",64,1190.0,4,5.0
121,1320552,Творчество и рукоделие,"Доски деревянные для выжигания по дереву Динозавры, Драконы, 2шт в наборе. Набор досок",64,279.0,11,5.0
122,1320053,Творчество и рукоделие,"Доски для выжигания Вертолет и Гоночный автомобиль, Трансформер и космический корабль",64,210.0,36,4.5
123,1832626,"Кубики, мозаика и пирамидки","Мозаика детская шестигранная пластмассовая Сова, Машина, 85, 100 и 120 элементов",63,382.5,18,5.0
124,9927,"Животные, фигурки и наборы",Гоночный трек с 4 машинками,63,1750.0,0,4.8
125,817008,Деревянные игрушки и шнуровки,"Сортер для малышей, деревянный, Монтессори, рамка-вкладыш ""Животные"", 18 деталей",62,750.0,0,4.8
126,81516,Прочее,Логические цилиндры Монтессори,62,590.0,0,5.0
127,2974163,Прочее,"Карнавальный набор Снежинка. Новогодний ободок, пумпоны",61,329.0,11,0.0
128,2336479,Настольные и карточные игры,"Настольная игра на баланс Стульчики / На 4 ногах, Башня из стульчиков. Новогодняя версия",61,289.0,1,5.0
129,1266686,Творчество и рукоделие,"Доски для выжигания, с рисунком",60,349.0,0,5.0
130,1034797,Настольные и карточные игры,Набор букв для игры Словодел 125 фишек. Составь слово,60,225.0,0,5.0
131,1008534,Магнитные игры и одевашки,Русский алфавит. Азбука. Магнитная игра Удивительные буквы (72 элемента),60,199.0,0,5.0
132,2529546,Прочее,"Мыльные пузыри Большие Лунтик, Барбоскины, 200 мл",59,269.0,24,5.0
133,1170405,Книги и обучающие материалы,"Книга для ванны для купания ""Животные"", 12 х 12 см",59,239.0,0,5.0
134,417029,Прочее,"Счетный материал ""Палочки для счета"" 36 палочек",59,175.0,0,5.0
135,2793423,Прочее,Карнавальный ободок Хэллоуин,57,199.0,1,5.0
136,1822597,Творчество и рукоделие,Доски для выжигания с рисунком,57,199.0,6,5.0
137,915697,Деревянные игрушки и шнуровки,Деревянная игрушка-шнуровка Ёжик,57,355.0,0,5.0
138,903783,Творчество и рукоделие,"Набор для вышивания с пяльцами. Вышивание крестиком. Вышивка ""Новогодняя Ёлочка""",57,299.0,13,5.0
139,323,Деревянные игрушки и шнуровки,Деревянная игрушка-стучалка,56,1350.0,0,4.6
140,1813596,Настольные и карточные игры,"Игра детская - бродилка / ходилка Алфавит, Азбука русские буквы",55,413.1,17,5.0
141,258136,Книги и обучающие материалы,"Книга для купания и игр в ванной ""Кто какого цвета?"", Обитатели моря, 12х12 см",55,165.0,0,5.0
142,2483494,Настольные и карточные игры,"Настольная игра Игра - ходилка / бродилка, Смешарики, Фиксики, Синий трактор",54,159.0,26,3.0
143,2377502,"Кубики, мозаика и пирамидки","Набор цветных развивающих кубиков Смешарики. Конструктор детский, 20 штук",54,390.0,26,5.0
144,2670921,Книги и обучающие материалы,"Книжка-тренажёр для рисования, детская ""Я учусь рисовать"", для мальчиков и девочек",53,249.0,51,5.0
145,1831904,Прочее,"Набор для рисования ""Флюид АРТ"" Жидкий акрил для творчества",53,799.0,0,5.0
146,395,Деревянные игрушки и шнуровки,"Игрушка деревянная 3 в 1: машинка, сортер, ксилофон",53,1890.0,0,4.8
147,2559085,Прочее,Набор для бисероплетения Украшение из бисера,52,359.0,2,5.0
148,2529534,Прочее,"Мыльные пузыри, Бутылочка , раствор, 500 мл Цвет микс",52,249.0,24,4.2
149,1009868,Прочее,"Новогодний набор: Адвент - Календарь, письмо Деду Морозу, Топ 20 новогодних дел",52,199.0,0,5.0
150,39381,Книги и обучающие материалы,"Книга для купания Bondibon ""Кто что ест"",  12х12 см",52,245.0,0,5.0
151,2330951,Мягкие игрушки и театр,"Мягкая игрушка Енот, Мишка",51,599.0,9,4.7
152,1961121,Пазлы,"Пазлы для малышей ""Транспорт"", ""Домашние животные"", 6 картинок в наборе",51,289.0,0,5.0
153,965776,Настольные и карточные игры,"Настольная детская игра ""Денежка. Играем в магазин. Покупаем продукты""",51,465.0,0,5.0
154,309702,Деревянные игрушки и шнуровки,Каталка Лошадка развивающая деревянная игрушка,50,375.0,0,5.0
155,939815,Настольные и карточные игры,Настольная игра МЕМО,49,369.0,12,5.0
156,38753,Прочее,"Учимся рисовать, тренажер по рисованию, компактные развивающие игры в дорогу Bondibon",49,429.14,23,5.0
157,13326,Деревянные игрушки и шнуровки,"Машинка-конструктор и Стучалка 2в1, деревянная",49,650.0,0,4.7
158,2334559,Конструкторы,"Конструктор Динозавр. Робот-трансформер ""Вольтрон"", 6 видов",47,329.0,17,5.0
159,1010285,"Кубики, мозаика и пирамидки","Кубики детские с картинкой, 6 кубиков. Холодное сердце Эльза, Олаф Disney",47,230.0,4,5.0
160,901537,Книги и обучающие материалы,"Соображай-ка. Развивающая игра Пиши-Стирай, 36 двусторонних карточек",47,445.5,8,5.0
161,39726,Книги и обучающие материалы,"Книга для купания, Bondibon,  ""Где живет?"", 15х15 см",47,195.0,0,4.0
162,2743018,Творчество и рукоделие,"Развивающая Книга с наклейками Буквы и слова, Внимание, Буквы и Счёт",46,139.0,41,5.0
163,2208159,Настольные и карточные игры,"Настольная игра Дубль Дуббль (Dobble) Дабл Микс / Животные, на развитие внимания и реакцию",46,319.0,17,5.0
164,938702,Магнитные игры и одевашки,Магнитная игра Мозаика с заданиями (16 карточек),46,499.0,0,5.0
165,367356,Пазлы,"Пазлы детские, деревянные, Коржик ""Три кота"", развивающая деревянная игрушка",46,299.0,0,5.0
166,2747015,Творчество и рукоделие,"Наклейки детские развивающие ""Забавные страшилки"", ""Милые мордашки"", Монстрики",45,199.0,86,5.0
167,1032203,Творчество и рукоделие,"Аппликация детская, Новогодняя с пайетками. Картина в рамке Дед Мороз, Снеговик",45,290.0,25,5.0
168,534941,Творчество и рукоделие,"Художник светом / Рисуй светом Набор для рисования в темноте с трафаретами, 25х18 см",45,499.0,0,0.0
169,452213,Пазлы,"Деревянная игрушка сортер - пазл ""Фигуры""",45,390.0,0,5.0
170,930838,Пазлы,"Пазлы деревянные детские Лесные жители, Зоопарк, Транспорт, Домашние животные. Сортер",44,299.0,13,5.0
171,799138,Настольные и карточные игры,"Страны мира, Игра-викторина серия ""Умная Сова"" Bondibon",44,899.0,0,5.0
172,367351,Пазлы,"Пазлы деревянные детские Компот ""Три кота""",44,329.0,1,5.0
173,367333,Пазлы,"Пазлы детские деревянные герои мультфильма ""Три кота"" Коржик, Карамелька и Компот",44,349.0,0,5.0
174,2760126,"Животные, фигурки и наборы","Раскраска многоразовая Пиши-стирай. Животные на ферме, Пони, Транспорт. Маркеры в комплекте",43,249.0,37,5.0
175,901491,Книги и обучающие материалы,Веселые лабиринты. 72 лабиринта. Развивающая игра Пиши-Стирай,43,495.0,14,5.0
176,309735,Конструкторы,Конструктор - каталка Паровозик 7 деталей,43,380.0,0,4.7
177,39098,Прочее,"Набор игрушек-пищалок для купания, BONDIBON, Подводный мир, 8 шт/упак",43,385.0,0,5.0
178,13252,Деревянные игрушки и шнуровки,Детская деревянная игрушка Мозаика Геоанимо,43,891.0,34,5.0
179,2334521,Конструкторы,"Конструктор Динозавр со звуковыми эффектами, Серия Дино мир",42,690.0,16,5.0
